tweet,groningen,6.06E-04,0.001024711,0.001257531,9.63E-04,3.47E-04,0.016378707,0.002810951,5.15E-04,0.00525502,8.81E-04,8.73E-04,9.79E-04
tweet,amsterdam,0.001649407,0.002997685,0.00143656,0.007072503,0.001156257,0.001519699,0.001327825,0.001298072,0.001525988,0.001607758,0.001956657,0.002650282
tweet,utrecht,0.001605238,0.001672545,0.001361052,0.001872106,6.20E-04,0.001221893,0.001017445,9.77E-04,8.06E-04,0.001899,0.001744535,0.009064681
tweet,rotterdam,0.001304647,8.89E-04,9.23E-04,0.001551829,0.001568981,0.001008053,7.49E-04,7.80E-04,7.36E-04,0.001161886,0.006414922,0.001489828
tweet,zwolle,4.88E-04,0.001689295,0.007553517,5.39E-04,2.91E-04,0.001901786,0.001398973,2.69E-04,0.002540999,0.001330867,5.43E-04,7.83E-04
tweet,eindhoven,0.005724427,6.26E-04,6.09E-04,7.13E-04,6.79E-04,4.89E-04,4.26E-04,0.002022733,4.84E-04,9.41E-04,7.14E-04,8.98E-04
tweet,arnhem,3.98E-04,4.28E-04,6.90E-04,4.72E-04,1.81E-04,3.50E-04,2.70E-04,3.31E-04,3.96E-04,0.005555049,3.49E-04,7.80E-04
tweet,leeuwarden,1.85E-04,4.75E-04,3.78E-04,3.24E-04,6.67E-05,0.001474305,0.00865774,1.48E-04,7.49E-04,2.74E-04,2.94E-04,2.86E-04
hashtag,utrecht,2.69E-04,2.50E-04,3.30E-04,3.86E-04,1.86E-04,1.36E-04,1.54E-04,1.44E-04,1.39E-04,4.03E-04,2.75E-04,0.004661955
tweet,almere,2.36E-04,0.015863026,4.93E-04,8.93E-04,1.49E-04,3.73E-04,6.16E-04,3.57E-04,4.67E-04,4.18E-04,3.19E-04,6.32E-04
tweet,tilburg,0.004924525,1.80E-04,2.62E-04,4.03E-04,2.97E-04,2.10E-04,1.91E-04,6.27E-04,1.27E-04,5.16E-04,5.02E-04,4.17E-04
